LOAD_DATE,YEAR,DATASET,SUBJECT,VARIABLE_BASE,GEO_ID,VALUE_E,VALUE_PE,STATE,COUNTY,LABEL_CATEGORY,LABEL_VALUE,LABEL_CONCEPT
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06083,53607,,California,Santa Barbara County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06083,341847,,California,Santa Barbara County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06085,24250,,California,Santa Clara County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06085,630411,,California,Santa Clara County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06085,64149,,California,Santa Clara County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06085,16432,,California,Santa Clara County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06085,168666,,California,Santa Clara County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06085,993345,,California,Santa Clara County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06087,3964,,California,Santa Cruz County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06087,15808,,California,Santa Cruz County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06087,4750,,California,Santa Cruz County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06087,614,,California,Santa Cruz County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06087,22462,,California,Santa Cruz County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06087,226716,,California,Santa Cruz County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06089,8258,,California,Shasta County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06089,6726,,California,Shasta County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06089,3644,,California,Shasta County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06089,445,,California,Shasta County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06089,4838,,California,Shasta County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06089,162712,,California,Shasta County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06095,7891,,California,Solano County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06095,75976,,California,Solano County,RACE,Asian,RACE
